X,Y,Z,% Cu,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4396.09,5522.65,2931.68,-4.199705078,,,,,,,,
4347.56,5406.6,2896.19,-1.22758267,,,,,,,,
4263.34,5282.35,2973.93,-1.790959789,,,,,,,,
4515.36,5039.89,3048.45,-0.495937011,,,,,,,,
4666.9,5312.91,3101.64,-2.439550948,,,,,,,,
4666.9,5312.91,3101.64,-2.439550948,,,,,,,,
4666.9,5312.91,3101.64,-2.439550948,,,,,,,,
4666.9,5312.91,3101.64,-2.439550948,,,,,,,,
4666.9,5312.91,3101.64,-2.439550948,,,,,,,,
4666.9,5312.91,3101.64,-2.439550948,,,,,,,,
4666.9,5312.91,3101.64,-2.439550948,,,,,,,,
4428.6,5640.65,2809.53,-1.731605546,,,,,,,,
4682.47,5362.15,3078.8,-2.603690186,,,,,,,,
4682.47,5362.15,3078.8,-2.603690186,,,,,,,,
4682.47,5362.15,3078.8,-2.603690186,,,,,,,,
4682.47,5362.15,3078.8,-2.603690186,,,,,,,,
4682.47,5362.15,3078.8,-2.603690186,,,,,,,,
4682.47,5362.15,3078.8,-2.603690186,,,,,,,,
4682.47,5362.15,3078.8,-2.603690186,,,,,,,,
4516.85,5280.33,3048.99,0.251381093,,,,,,,,
4680.45,5402.86,2956.45,-0.394821948,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4530.65,5402.12,2907.48,0.367970904,,,,,,,,
4676.02,5784.22,2733.16,-1.755620423,,,,,,,,
4501.43,5220.92,3010.42,-1.107451237,,,,,,,,
4818.45,5590.19,2954.47,-2.225624052,,,,,,,,
